Activity,Sectors,DistinctProjects
 Risk financing mechanisms,"Water, Sanitation & Waste Management",1
 Risk management planning,"Water, Sanitation & Waste Management",1
 Risk mapping,Public Administration,1
 Risk mitigation investments,"Agriculture, Fishing & Forestry",1
 Risk profiling,Public Administration,1
 Risk-based inspections,Transportation,1
 River cleanup,"Water, Sanitation & Waste Management",1
 River rehabilitation,"Water, Sanitation & Waste Management",1
 River rehabilitation works,"Water, Sanitation & Waste Management",1
 Riverbank protection,"Water, Sanitation & Waste Management",1
 Road asset management,Transportation,1
 Road condition monitoring,Transportation,1
 Road construction,Public Administration,1
 Road design,Transportation,1
 Road improvement,Public Administration,1
 Road maintenance,Transportation,1
 Road maintenance contracts,Transportation,1
 Road maintenance employment,Transportation,1
 Road maintenance training,Transportation,1
 Road management improvement,Transportation,1
 Road marking,Transportation,1
 Road rehabilitation,"Water, Sanitation & Waste Management",1
 Road safety,Transportation,1
 Road safety assessment,Transportation,1
 Road safety audits,Transportation,1
 Road safety improvements,Transportation,2
 Road safety measures,Transportation,1
 Road signage installation,Transportation,1
 Road upgrades,Transportation,1
 Road upgrading,"Water, Sanitation & Waste Management",1
 Rolling stock rehabilitation,Transportation,1
 Rooftop solar installation,Energy & Extractives,1
 Ro-Ro terminal construction,Transportation,1
 Routine road maintenance,Transportation,1
 Rural broadband expansion,Information & Communications Technologies,1
 Rural education support,Education,1
 Rural electrification,Transportation,1
 Rural road construction,"Industry, Trade & Services",1
 Rural road rehabilitation,Transportation,1
 Rural system maintenance,"Water, Sanitation & Waste Management",1
 Safety assessments,Education,1
 Safety feature installation,Transportation,1
 Safety improvements,Transportation,1
 Safety inspections,"Water, Sanitation & Waste Management",1
 Safety net delivery,Social Protection,1
 Safety net enrollment,Social Protection,1
 Safety retrofitting,Transportation,1
 Safety upgrades,Transportation,1
 Salinity barrier construction,"Water, Sanitation & Waste Management",1
 Sanitation access expansion,"Water, Sanitation & Waste Management",1
 Sanitation awareness campaigns,"Water, Sanitation & Waste Management",1
 Sanitation connections,Public Administration,1
 Sanitation facilities construction,"Water, Sanitation & Waste Management",1
 Sanitation facilities installation,"Water, Sanitation & Waste Management",1
 Sanitation infrastructure,Public Administration,1
 Sanitation infrastructure construction,"Water, Sanitation & Waste Management",1
 Sanitation network expansion,"Water, Sanitation & Waste Management",1
 Sanitation service expansion,"Water, Sanitation & Waste Management",1
 Sanitation service provision,"Water, Sanitation & Waste Management",1
 Sanitation system upgrade,"Water, Sanitation & Waste Management",1
 Scholarship provision,Health,1
 Scholarships provision,Education,1
 School accounting digitization,Public Administration,1
 School construction,Social Protection,1
 School decentralization,Education,1
 School governance strengthening,Education,1
 School grants disbursement,Education,1
 School improvement support,Education,1
 School infrastructure improvement,Education,1
 School infrastructure upgrade,Education,1
 School infrastructure upgrades,Education,1
 School leadership training,Education,1
 School management training,Education,1
 School operations support,Public Administration,1
 School planning support,Education,1
 School quality labeling,Education,1
 School rehabilitation,Education,1
 School sanitation facilities,"Water, Sanitation & Waste Management",1
 School WASH facilities,"Water, Sanitation & Waste Management",1
 Screening programs,Health,1
 Screening services,Health,1
 Secondary care service delivery,Health,1
 Second-chance education,Health,1
 Sector capacity building,Transportation,1
 Sector management modernization,Transportation,1
 Sector reform support,Energy & Extractives,1
 Sector studies,Transportation,1
 Seed distribution,"Agriculture, Fishing & Forestry",1
 Seedling distribution,"Water, Sanitation & Waste Management",1
 Seedling planting,"Agriculture, Fishing & Forestry",1
 Senior secondary access expansion,Education,1
 Service center establishment,Public Administration,1
 Service center operations,Public Administration,1
 Service connection installation,"Water, Sanitation & Waste Management",1
 Service connection upgrades,Energy & Extractives,1
 Service connections,"Water, Sanitation & Waste Management",1
 Service continuity restoration,"Water, Sanitation & Waste Management",1
 Service coordination,Public Administration,1
 Service coverage expansion,Public Administration,1
 Service delivery,Health,1
 Service delivery expansion,Health,1
 Service delivery improvement,"Industry, Trade & Services",1
 Service delivery improvement,Social Protection,1
 Service digitization,Public Administration,1
 Service integration,Health,1
 Service package expansion,Health,1
 Service quality improvement,Health,1
 Service quality improvement,Transportation,1
 Service reliability improvement,"Water, Sanitation & Waste Management",1
 Service standard development,Public Administration,1
 Service standard enforcement,Public Administration,1
 Service system design,Social Protection,1
 Sewage pipeline upgrade,Social Protection,1
 Sewer connection expansion,"Water, Sanitation & Waste Management",1
 Sewer connections installation,"Water, Sanitation & Waste Management",1
 Sewer installation,"Water, Sanitation & Waste Management",1
 Sewer mains rehabilitation,"Water, Sanitation & Waste Management",1
 Sewer network construction,"Water, Sanitation & Waste Management",1
 Sewer network expansion,"Water, Sanitation & Waste Management",1
 Sewer network rehabilitation,"Water, Sanitation & Waste Management",1
 Sewerage expansion,"Water, Sanitation & Waste Management",1
 Sewerage network expansion,"Water, Sanitation & Waste Management",1
 Sex-disaggregated data collection,Information & Communications Technologies,1
 Shared facility access,"Industry, Trade & Services",1
 Shelter upgrading,Public Administration,1
 SHG federation formation,Social Protection,1
 Shock response capacity,Social Protection,1
 Signaling system upgrade,Transportation,1
 Single window implementation,Public Administration,1
 Site rehabilitation,Transportation,1
 Skill certification,Education,1
 Skilled birth attendance,Public Administration,1
 Skills training,Social Protection,1
 Slope stabilization,Transportation,1
 Sludge treatment installation,"Water, Sanitation & Waste Management",1
 Slum upgrading,Public Administration,1
 Small business support,Social Protection,1
 Smart meter installation,Energy & Extractives,1
 Smart technology adoption,"Industry, Trade & Services",1
 SME capacity building,"Industry, Trade & Services",1
 SME digitalization support,Information & Communications Technologies,1
 SME financing,Energy & Extractives,1
 SME fund management,Financial Sector,1
 SME support,"Industry, Trade & Services",1
 SME support services,"Industry, Trade & Services",1
 Social assistance delivery,Social Protection,1
 Social assistance referral,Social Protection,1
 Social assistance targeting,Social Protection,1
 Social benefit payments,Public Administration,1
 Social cash transfers,Transportation,1
 Social facility installation,Energy & Extractives,1
 Social protection expansion,Transportation,1
 Social protection reform,Public Administration,1
 Social registry development,Social Protection,1
 Social registry enrollment,Social Protection,1
 Social registry expansion,Public Administration,1
 Social registry update,Social Protection,1
 Social safety net expansion,Public Administration,1
 Social safety net support,Social Protection,1
 Social scholarships,Education,1
 Social security enrollment,Social Protection,1
 Social services improvement,Social Protection,1
 Social services provision,Social Protection,1
 Social worker training,Social Protection,1
 Socioemotional programs,Education,1
 SOE dividend reform,Public Administration,1
 SOE reform,Public Administration,1
 SOE restructuring,Public Administration,1
 Solar installation support,Transportation,1
 Solar manufacturing expansion,"Industry, Trade & Services",1
 Solar PV installation,Energy & Extractives,1
 Solar PV investment facilitation,Public Administration,1
 Solid waste collection,"Water, Sanitation & Waste Management",1
 Solid waste collection improvement,"Water, Sanitation & Waste Management",1
 Solid waste infrastructure development,"Water, Sanitation & Waste Management",1
 Solid waste management,Public Administration,1
 Solid waste system upgrade,"Water, Sanitation & Waste Management",1
 Source separation promotion,"Water, Sanitation & Waste Management",1
 Spatial planning,Public Administration,1
 Spatial planning,Transportation,1
 Spring restoration,Public Administration,1
 Staff recruitment,"Water, Sanitation & Waste Management",1
 Staff retrenchment,Transportation,1
 Staff secondments,Public Administration,1
 Staff training,Public Administration,1
 Staff training,Transportation,1
 Staffing support,Health,1
 Stakeholder consultation,Education,1
 Stakeholder consultations,Education,1
 Stakeholder engagement,Education,1
 Stakeholder engagement,Energy & Extractives,1
 Standards adoption,"Industry, Trade & Services",1
 Standards enforcement,"Water, Sanitation & Waste Management",1
 Standards implementation,Social Protection,1
 Standards update,Information & Communications Technologies,1
 Startup financing,Financial Sector,1
 Startup incubation,"Industry, Trade & Services",1
 Startup support,"Industry, Trade & Services",1
 Station construction,"Water, Sanitation & Waste Management",1
 Stormwater infrastructure upgrade,Public Administration,1
 Strategic planning,Transportation,1
 Strategic planning support,Education,1
 Strategy development,Social Protection,1
 Strategy development,"Water, Sanitation & Waste Management",1
 Street lighting installation,"Water, Sanitation & Waste Management",1
 Street lighting replacement,"Water, Sanitation & Waste Management",1
 Stroke unit establishment,Health,1
 Structural strengthening,"Industry, Trade & Services",1
 Student assessments digitalization,Health,1
 Student enrollment support,Education,1
 Student learning support,Education,1
 Student outreach events,Education,1
 Student retention,Education,1
 Student retention programs,Education,1
 Student retention support,Education,2
 Student support services,Education,1
 Study publication,Public Administration,1
 Sub-loan financing,Energy & Extractives,1
 Subproject design,Energy & Extractives,1
 Subproject financing,Social Protection,1
 Subproject financing,"Water, Sanitation & Waste Management",1
 Subsidized lending,Public Administration,1
 Substation capacity upgrades,Energy & Extractives,1
 Substation construction,Energy & Extractives,1
 Substation installation,Energy & Extractives,1
 Substation rehabilitation,Energy & Extractives,1
 Substation upgrades,Energy & Extractives,1
 Supplier development,Financial Sector,1
 Supply chain development,"Industry, Trade & Services",1
 Supply chain strengthening,Health,1
 Supply chain support,Social Protection,1
 Supply chain systems,Health,1
 Survey process optimization,Public Administration,1
 Sustainable bond issuance,Financial Sector,1
 Sustainable finance policy,Financial Sector,1
 Sustainable forest management,Social Protection,1
 Sustainable land management,Social Protection,1
 Sustainable land management,"Water, Sanitation & Waste Management",1
 System commissioning,Energy & Extractives,1
 System deployment,Health,1
 System digitization,Education,1
 System implementation,"Water, Sanitation & Waste Management",1
 System integration,Public Administration,1
 System interoperability,Public Administration,1
 System modernization,Public Administration,1
 Systems integration,Health,1
 Targeted cash transfers,Public Administration,1
 Targeted outreach,Social Protection,1
 Targeted support,Education,1
 Targeting improvement,Social Protection,1
 Targeting system,Social Protection,1
 Targeting system improvement,Social Protection,1
 Tariff collection improvement,Public Administration,1
 Tariff reduction,Public Administration,1
 Tariff reform,"Water, Sanitation & Waste Management",2
 Tax administration modernization,Public Administration,1
 Tax administration reform,Public Administration,1
 Tax administration strengthening,Public Administration,1
 Tax audit strengthening,Public Administration,1
 Tax compliance enforcement,Public Administration,1
 Tax compliance improvement,Public Administration,1
 Tax policy reform,Public Administration,1
 Tax recovery improvement,Public Administration,1
 Tax system modernization,Public Administration,1
 Tax system strengthening,Public Administration,1
 Taxonomy development,"Water, Sanitation & Waste Management",1
 Taxpayer registration,Public Administration,1
 Taxpayer service improvement,Public Administration,1
 Teacher certification,Social Protection,1
 Teacher peer learning,Education,1
 Teacher recruitment,Education,1
 Teacher training,Education,1
 Teacher training,"Water, Sanitation & Waste Management",1
 Teaching hospital support,Health,1
 Teaching improvement,Education,1
 Teaching materials provision,Education,1
 Tech hub support,Social Protection,1
 Technical assistance,"Industry, Trade & Services",2
 Technical audits,Transportation,1
 Technical design,Education,1
 Technology adoption,"Industry, Trade & Services",1
 Technology adoption,Transportation,1
 Technology adoption grants,"Industry, Trade & Services",1
 Technology adoption support,"Agriculture, Fishing & Forestry",1
 Technology adoption support,"Industry, Trade & Services",1
 Technology commercialization,"Industry, Trade & Services",1
 Technology development,"Industry, Trade & Services",1
 Technology scaling,"Industry, Trade & Services",1
 Technology transfer,Education,1
 Telecom equipment procurement,Information & Communications Technologies,1
 Telemedicine deployment,Social Protection,1
 Telemedicine services,Health,1
 Telemedicine services rollout,Health,1
 Terminal construction,Transportation,1
 Terminal upgrades,Transportation,1
 Testing services,Health,1
 Tobacco control regulation,Public Administration,1
 Tool development,Energy & Extractives,1
 Tourism infrastructure development,"Water, Sanitation & Waste Management",2
 Tourism marketing,Public Administration,1
 Tourism promotion,Public Administration,1
 Tourism services improvement,Social Protection,1
 Tourism site rehabilitation,Public Administration,1
 Tourism strategy development,Transportation,1
 Trade facilitation,Public Administration,1
 Trade process simplification,Transportation,1
 Traffic management,Transportation,1
 Traffic management improvements,Transportation,1
 Traffic monitoring,Transportation,1
 Train procurement,Transportation,1
 Trainer training,Education,1
 Training center operations,Education,1
 Training programs,Transportation,1
 Training programs,"Water, Sanitation & Waste Management",1
 Transboundary water coordination,"Water, Sanitation & Waste Management",1
 Transformer capacity expansion,Energy & Extractives,1
 Transformer installation,Energy & Extractives,1
 Transit corridor upgrading,Transportation,1
 Transit service improvement,Transportation,1
 Transit service operation,"Water, Sanitation & Waste Management",1
 Transmission capacity expansion,Energy & Extractives,1
 Transmission capacity upgrade,Energy & Extractives,1
 Transmission line construction,Energy & Extractives,1
 Transmission line rehabilitation,Energy & Extractives,1
 Transmission line upgrade,Energy & Extractives,1
 Transmission line upgrades,Energy & Extractives,1
 Transmission line upgrading,Energy & Extractives,1
 Transmission substation upgrades,Energy & Extractives,1
 Transmission system upgrades,Energy & Extractives,1
 Transmission upgrades,Energy & Extractives,1
 Transparency improvements,Public Administration,1
 Transparency improvements,Social Protection,1
 Transparency platform upgrade,Public Administration,1
 Transport corridor optimization,Transportation,1
 Transport infrastructure improvement,Public Administration,1
 Transport infrastructure upgrade,Transportation,1
 Transport infrastructure upgrading,Public Administration,1
 Transport service improvement,Transportation,1
 Treatment plant construction,"Water, Sanitation & Waste Management",1
 Treatment plant upgrades,"Water, Sanitation & Waste Management",1
 Treatment protocol implementation,Health,1
 Tree planting,Social Protection,1
 Triage capacity setup,Health,1
 TSA implementation,Public Administration,1
 Tunnel construction,"Water, Sanitation & Waste Management",1
 Tutoring programs,Education,1
 Underground line installation,Energy & Extractives,1
 Underserved SME lending,Financial Sector,1
 Unemployment benefits,Social Protection,1
 Unique ID verification,Social Protection,1
 University governance improvement,Education,1
 Urban design,Public Administration,1
 Urban drainage construction,"Water, Sanitation & Waste Management",1
 Urban drainage improvements,"Water, Sanitation & Waste Management",1
 Urban governance reform,"Water, Sanitation & Waste Management",1
 Urban governance strengthening,"Water, Sanitation & Waste Management",1
 Urban green infrastructure,Public Administration,1
 Urban infrastructure upgrades,Social Protection,1
 Urban management pilot,"Water, Sanitation & Waste Management",1
 Urban mobility improvement,Transportation,1
 Urban mobility planning,Transportation,1
 Urban planning,Public Administration,1
 Urban public space improvement,"Water, Sanitation & Waste Management",1
 Urban regeneration works,"Water, Sanitation & Waste Management",1
 Urban resilience planning,Transportation,1
 Urban services improvement,Public Administration,1
 Urban services improvement,"Water, Sanitation & Waste Management",1
 Urban settlement upgrading,Transportation,1
 Urban transport improvements,"Water, Sanitation & Waste Management",1
 Urban water service expansion,"Water, Sanitation & Waste Management",1
 Use rights formalization,Public Administration,1
 User fee policy,Transportation,1
 User feedback,Public Administration,1
 User outreach,Social Protection,1
 Utility capacity building,Energy & Extractives,1
 Utility capacity building,"Water, Sanitation & Waste Management",1
 Utility efficiency improvement,"Water, Sanitation & Waste Management",1
 Utility financial reform,Energy & Extractives,1
 Utility management integration,"Water, Sanitation & Waste Management",1
 Utility mapping,Public Administration,1
 Utility operational improvement,Energy & Extractives,1
 Utility performance improvement,"Water, Sanitation & Waste Management",2
 Utility performance management,"Water, Sanitation & Waste Management",1
 Utility relocation,Transportation,1
 Utility staff training,Energy & Extractives,1
 Vaccination campaigns,Social Protection,1
 Vaccination delivery,Health,1
 Vaccination rollout,Health,1
 Vaccination service delivery,Health,1
 Vaccination site operations,Health,1
 Vaccine administration,Health,1
 Vaccine distribution,Health,1
 Vaccine procurement,Social Protection,1
 Vaccine safety monitoring,Social Protection,1
 Value chain development,"Industry, Trade & Services",1
 Value chain development,"Water, Sanitation & Waste Management",1
 Value chain reform,"Agriculture, Fishing & Forestry",1
 Value chain support,Public Administration,1
 VAT compliance improvement,Public Administration,1
 Vegetation restoration,"Water, Sanitation & Waste Management",1
 Ventilator procurement,Health,1
 Venture capital fund,"Industry, Trade & Services",1
 Village coordination,Social Protection,1
 Violence survivor counseling,Health,1
 Vocational training,Social Protection,1
 Vulnerability assessment,Transportation,1
 Wage subsidies,Social Protection,1
 Warehouse receipt issuance,"Industry, Trade & Services",1
 WASH facilities improvement,Education,1
 WASH facilities installation,Health,1
 WASH service delivery,Public Administration,1
 Waste collection expansion,"Water, Sanitation & Waste Management",1
 Waste disposal,"Water, Sanitation & Waste Management",1
 Waste diversion programs,"Water, Sanitation & Waste Management",1
 Waste management,Health,1
 Waste management equipment,Health,1
 Waste management improvement,"Water, Sanitation & Waste Management",2
 Waste management planning,Health,1
 Waste reduction programs,"Industry, Trade & Services",1
 Waste tracking system,"Water, Sanitation & Waste Management",1
 Waste treatment facilities,"Water, Sanitation & Waste Management",1
 Wastewater management,"Water, Sanitation & Waste Management",1
 Wastewater network rehabilitation,"Water, Sanitation & Waste Management",1
 Wastewater treatment,"Water, Sanitation & Waste Management",2
 Wastewater treatment construction,"Water, Sanitation & Waste Management",1
 Wastewater treatment pilot,"Water, Sanitation & Waste Management",1
 Wastewater treatment rehabilitation,"Water, Sanitation & Waste Management",1
 Wastewater treatment upgrade,"Water, Sanitation & Waste Management",1
 Wastewater treatment upgrades,"Water, Sanitation & Waste Management",1
 Water access expansion,"Water, Sanitation & Waste Management",1
 Water and sewer connection expansion,"Water, Sanitation & Waste Management",1
 Water and soil management,Public Administration,1
 Water connection installation,"Industry, Trade & Services",1
 Water connection rehabilitation,"Water, Sanitation & Waste Management",1
 Water connections,Public Administration,1
 Water efficiency improvement,"Agriculture, Fishing & Forestry",1
 Water efficiency improvements,"Industry, Trade & Services",1
 Water efficiency measures,"Water, Sanitation & Waste Management",1
 Water infrastructure improvement,Social Protection,1
 Water infrastructure rehabilitation,"Water, Sanitation & Waste Management",1
 Water loss reduction,"Water, Sanitation & Waste Management",1
 Water management,"Agriculture, Fishing & Forestry",1
 Water management improvement,"Agriculture, Fishing & Forestry",1
 Water meter installation,"Water, Sanitation & Waste Management",1
 Water network expansion,"Water, Sanitation & Waste Management",1
 Water network rehabilitation,Transportation,1
 Water pipe rehabilitation,"Water, Sanitation & Waste Management",1
 Water production upgrade,"Water, Sanitation & Waste Management",1
 Water quality monitoring,"Water, Sanitation & Waste Management",2
 Water resource management,"Water, Sanitation & Waste Management",1
 Water reuse systems,"Water, Sanitation & Waste Management",1
 Water service connections,"Water, Sanitation & Waste Management",1
 Water supply expansion,"Water, Sanitation & Waste Management",1
 Water supply improvement,Public Administration,1
 Water supply infrastructure,"Water, Sanitation & Waste Management",1
 Water supply rehabilitation,"Water, Sanitation & Waste Management",1
 Water supply upgrades,"Water, Sanitation & Waste Management",1
 Water treatment expansion,"Water, Sanitation & Waste Management",1
 Water treatment upgrades,"Water, Sanitation & Waste Management",1
 Water user organization strengthening,"Agriculture, Fishing & Forestry",1
 Water utility upgrades,"Water, Sanitation & Waste Management",1
 Watershed planning,"Water, Sanitation & Waste Management",1
 Waterway demining,"Water, Sanitation & Waste Management",1
 Women business financing,Financial Sector,1
 Women employment,Transportation,1
 Women enterprise financing,Financial Sector,1
 Women entrepreneurship support,Transportation,1
 Women MSME support,Financial Sector,1
 Women’s employment support,"Water, Sanitation & Waste Management",1
 Women-focused grants,Social Protection,1
 Women-focused lending,Financial Sector,1
 Women-led MSME financing,Financial Sector,1
 Women-led SME support,Public Administration,1
 Women-owned SME lending,Financial Sector,1
 Women's credit provision,Public Administration,1
 Women's homeownership support,"Industry, Trade & Services",1
 Worker training,"Water, Sanitation & Waste Management",1
 Workforce development,"Water, Sanitation & Waste Management",1
 Workforce hiring,Energy & Extractives,1
 Workforce planning reports,Public Administration,1
 Workforce recruitment,Transportation,1
 Workforce training,Health,1
 Working capital loans,Financial Sector,1
 Working capital support,Public Administration,1
 X-ray equipment installation,Health,1
 Youth employment support,Social Protection,1
 Youth enterprise support,Public Administration,1
 Youth farmer support,"Industry, Trade & Services",1
Academic scholarships,Education,1
Access to finance,"Industry, Trade & Services",1
Affordable housing construction,"Industry, Trade & Services",1
Afforestation,"Agriculture, Fishing & Forestry",1
Agricultural extension,Social Protection,1
AMI meter installation,Energy & Extractives,1
Awareness campaigns,Health,1
Battery storage installation,Energy & Extractives,1
Behavior change campaign,Public Administration,1
Bridge construction,Transportation,1
Bridge rehabilitation,Transportation,1
Broadband expansion,Information & Communications Technologies,1
Broadband infrastructure construction,Information & Communications Technologies,1
BRT construction,Transportation,1
BRT lane construction,"Water, Sanitation & Waste Management",1
Building retrofits,Health,1
Bus lane construction,Transportation,1
Bus procurement,Transportation,1
Bus stop construction,Transportation,1
Business grants,Social Protection,1
Business registration reform,Transportation,1
Cadastral mapping,Public Administration,1
Cadastre map digitization,Public Administration,1
Capacity building,"Water, Sanitation & Waste Management",1
Carbon pricing policy,Public Administration,1
Case management,Public Administration,1
Cash transfer delivery,Social Protection,1
Cash transfer distribution,Social Protection,1
Cash transfers,Social Protection,1
Climate-smart agriculture,"Industry, Trade & Services",1
Climate-smart agriculture training,"Industry, Trade & Services",1
Coastal protection,"Water, Sanitation & Waste Management",1
Co-management planning,"Industry, Trade & Services",1
Community health worker training,Health,1
Corporate governance reform,Public Administration,1
Cultural heritage conservation,Social Protection,1
Curriculum development,Education,1
Data center construction,Information & Communications Technologies,1
Data harmonization,Public Administration,1
Data not available,,1
Diagnostic testing,Health,1
Digital ID deployment,Social Protection,1
Digital mapping,Public Administration,1
Digital platform deployment,Social Protection,1
Digital platform development,Public Administration,1
Digital platform integration,Public Administration,1
Digital service delivery,Health,1
Digital services deployment,Public Administration,1
Digital services rollout,Public Administration,1
Digital skills training,Social Protection,1
Digital tax filing,Public Administration,1
Digital tax systems,Public Administration,1
Disease screening programs,Health,1
Distribution line construction,Energy & Extractives,1
Distribution network upgrades,Energy & Extractives,1
Drainage conduit construction,"Water, Sanitation & Waste Management",1
Drainage construction,"Water, Sanitation & Waste Management",1
Drainage upgrades,Public Administration,1
Dump site closure,"Water, Sanitation & Waste Management",1
Early childhood expansion,Education,1
Early warning systems,Transportation,1
Ecosystem monitoring,Public Administration,1
Efficient appliance distribution,Energy & Extractives,1
Electric bus procurement,"Water, Sanitation & Waste Management",1
Embankment construction,"Water, Sanitation & Waste Management",1
Embankment rehabilitation,"Water, Sanitation & Waste Management",1
Embankment strengthening,"Water, Sanitation & Waste Management",1
Emergency cash transfers,Social Protection,1
Emergency preparedness planning,Health,1
Employment counseling,Social Protection,1
EMR implementation,Health,1
Energy efficiency financing,Public Administration,1
Energy efficiency upgrades,Health,1
Energy market reform,"Water, Sanitation & Waste Management",1
Environmental permitting reform,Public Administration,1
e-Procurement implementation,Public Administration,2
Equipment procurement,"Agriculture, Fishing & Forestry",1
Equity financing,Financial Sector,1
Essential health services,Health,1
Export promotion,"Industry, Trade & Services",1
Extraction failed,Social Protection,1
Facility reconstruction,Health,1
Facility rehabilitation,Social Protection,1
Facility upgrades,Health,1
Farmer training,Public Administration,1
Fiber optic installation,Information & Communications Technologies,1
Financial system implementation,Public Administration,1
Financing facility setup,Energy & Extractives,1
Fiscal management reform,Transportation,1
Fleet management improvement,Public Administration,1
Flood control construction,"Water, Sanitation & Waste Management",1
Flood embankment construction,"Water, Sanitation & Waste Management",1
Food assistance delivery,Social Protection,1
Forest conservation incentives,Public Administration,1
Forest restoration,"Water, Sanitation & Waste Management",1
Generation capacity construction,Energy & Extractives,1
Grant financing,Education,1
Grant funding,"Industry, Trade & Services",1
Green budget tagging,Public Administration,1
Groundwater development,"Water, Sanitation & Waste Management",1
Health facility renovation,Health,1
Health facility upgrades,Health,1
Health insurance enrollment,Health,1
Health insurance expansion,Public Administration,1
Health surveillance expansion,Social Protection,1
Health worker training,Health,1
Home improvement grants,"Industry, Trade & Services",1
Hospital equipment procurement,Health,1
Housing construction,Public Administration,1
Housing reconstruction,"Industry, Trade & Services",1
Housing repairs,"Industry, Trade & Services",1
Housing upgrades,Social Protection,1
Hydropower construction,Energy & Extractives,1
ICT equipment procurement,Health,1
ICT platform deployment,Public Administration,1
IFMIS implementation,Public Administration,1
Immunization services,Public Administration,1
Income support expansion,Public Administration,1
Information system development,Social Protection,1
Infrastructure construction,"Water, Sanitation & Waste Management",1
Infrastructure installation,Health,1
Infrastructure rehabilitation,Energy & Extractives,1
Infrastructure upgrades,Public Administration,1
Institution setup,Financial Sector,1
Institutional capacity building,"Water, Sanitation & Waste Management",1
Institutional framework development,Public Administration,1
Institutional strengthening,"Agriculture, Fishing & Forestry",1
Investment climate reform,Transportation,1
Investment financing,"Industry, Trade & Services",1
Irrigation infrastructure,"Industry, Trade & Services",1
Irrigation infrastructure rehabilitation,"Agriculture, Fishing & Forestry",1
Irrigation infrastructure upgrades,"Agriculture, Fishing & Forestry",1
IT system development,Public Administration,1
Job placement,Social Protection,1
Job placement services,Social Protection,1
Land acquisition,Transportation,1
Land titling,Public Administration,1
Landfill construction,Public Administration,1
Landscape restoration,Social Protection,1
LED lighting distribution,Energy & Extractives,1
Lines of credit,Financial Sector,1
Livelihood grants,Social Protection,1
Loan guarantees,Financial Sector,1
Marine area designation,"Agriculture, Fishing & Forestry",1
Market access support,Social Protection,1
Market infrastructure construction,"Industry, Trade & Services",1
Market linkages,"Industry, Trade & Services",1
Metering installation,Energy & Extractives,1
Microfinance expansion,Public Administration,1
MRV system setup,Public Administration,1
MSME financing,Financial Sector,1
MSME grants,Financial Sector,1
MSME lending,Financial Sector,1
MSME sub-loans,Financial Sector,1
Multimodal terminal construction,Transportation,1
NCD screening,Health,1
Network expansion,"Water, Sanitation & Waste Management",1
Network rehabilitation,"Water, Sanitation & Waste Management",1
Pharmaceutical market regulation,Health,1
PhD scholarships,"Industry, Trade & Services",1
Pipeline construction,"Water, Sanitation & Waste Management",1
Pipeline installation,"Water, Sanitation & Waste Management",1
Policy reform,Energy & Extractives,1
Policy reform support,Public Administration,1
Pollution reduction investments,"Industry, Trade & Services",1
Power sector restructuring,Public Administration,1
Prepaid card distribution,Social Protection,1
Primary care service delivery,Health,1
Primary care strengthening,Health,1
Processing facility construction,Transportation,1
Professional licensing,Health,1
Project financing,Transportation,1
Protected area management,"Agriculture, Fishing & Forestry",1
Public building retrofits,Public Administration,1
Quality certification,Health,1
R&D grants,"Industry, Trade & Services",1
Rail infrastructure rehabilitation,Transportation,1
Refugee protection support,Transportation,1
Regulatory reform,"Water, Sanitation & Waste Management",1
Renewable energy auctions,Public Administration,1
Renewable energy installation,Education,1
Research grants,"Industry, Trade & Services",1
Resilient housing reconstruction,"Water, Sanitation & Waste Management",1
Road construction,Transportation,1
Road corridor upgrading,Transportation,1
Road improvement,"Water, Sanitation & Waste Management",1
Road maintenance,Transportation,1
Road rehabilitation,Transportation,1
Road upgrading,"Industry, Trade & Services",1
Rooftop solar installation,Energy & Extractives,1
Safety net expansion,Public Administration,1
Safety system implementation,Transportation,1
Salary payments,Public Administration,1
School infrastructure upgrade,Education,1
School infrastructure upgrades,Education,1
School reconstruction,Education,1
School shelter upgrade,Health,1
Service delivery expansion,Health,1
Service digitalization,Public Administration,1
Service digitization,Public Administration,1
Sewer connections,"Water, Sanitation & Waste Management",1
Sewer network construction,"Water, Sanitation & Waste Management",1
Sewer pipeline construction,"Water, Sanitation & Waste Management",1
Single Window development,Transportation,1
Site cleanup,"Water, Sanitation & Waste Management",1
Skills training,Education,1
Smart meter deployment,Energy & Extractives,1
Smart meter installation,Energy & Extractives,1
SME financing,Financial Sector,1
SME lending,Financial Sector,1
Smoking cessation programs,Social Protection,1
Social assistance delivery,"Water, Sanitation & Waste Management",1
Social registry enrollment,Public Administration,1
Social services delivery,Social Protection,1
Social subsidy delivery,Public Administration,1
Solar installation,"Industry, Trade & Services",1
Solar park development,Energy & Extractives,1
Solar power installation,Health,1
Solar PV construction,Energy & Extractives,1
Solar PV installation,Energy & Extractives,1
Staff training,Public Administration,1
Standpipe construction,"Water, Sanitation & Waste Management",1
Startup financing,"Industry, Trade & Services",1
Startup grants,"Industry, Trade & Services",1
STEM enrollment expansion,Education,1
Storm drainage construction,Public Administration,1
Stormwater drainage construction,"Water, Sanitation & Waste Management",1
Street lighting installation,Public Administration,1
Street upgrading,Public Administration,1
Student loans,Education,1
Subloan financing,"Industry, Trade & Services",1
Substation capacity expansion,Energy & Extractives,1
Substation rehabilitation,Energy & Extractives,1
Supply chain management,Health,1
Sustainable agriculture practices,Public Administration,1
Sustainable fodder production,"Agriculture, Fishing & Forestry",1
